x= 835.0, y= 789.0 | w=70    , h=70     | r=[8, 8, 8, 8]   | name=keyboard_bt               | {'fill': '#656567'} | 
x= 920.0, y= 789.0 | w=None  , h=None   | r=None           | name=keyboard_bt               | {} | 
x= 920.0, y= 789.0 | w=70    , h=70     | r=[8, 8, 8, 8]   | name=keyboard_bt               | {'fill': '#656567'} | 
x= 263.0, y= 835.0 | w=None  , h=None   | r=None           | name=ㅁ                         | {'fill': '#ffffff', 'font': '26px S-Core Dream 5 Medium'} | ㅁ
x= 348.0, y= 835.0 | w=None  , h=None   | r=None           | name=ㄴ                         | {'fill': '#ffffff', 'font': '26px S-Core Dream 5 Medium'} | ㄴ
x= 433.0, y= 835.0 | w=None  , h=None   | r=None           | name=ㅇ                         | {'fill': '#ffffff', 'font': '26px S-Core Dream 5 Medium'} | ㅇ
x= 518.0, y= 835.0 | w=None  , h=None   | r=None           | name=ㄹ                         | {'fill': '#ffffff', 'font': '26px S-Core Dream 5 Medium'} | ㄹ
x= 603.0, y= 835.0 | w=None  , h=None   | r=None           | name=ㅎ                         | {'fill': '#ffffff', 'font': '26px S-Core Dream 5 Medium'} | ㅎ
x= 687.0, y= 835.0 | w=None  , h=None   | r=None           | name=ㅗ                         | {'fill': '#ffffff', 'font': '26px S-Core Dream 5 Medium'} | ㅗ
x= 772.0, y= 835.0 | w=None  , h=None   | r=None           | name=ㅓ                         | {'fill': '#ffffff', 'font': '26px S-Core Dream 5 Medium'} | ㅓ
x= 857.0, y= 835.0 | w=None  , h=None   | r=None           | name=ㅏ                         | {'fill': '#ffffff', 'font': '26px S-Core Dream 5 Medium'} | ㅏ
